transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL_Spring_Branch_ISD-2025-01-29-Board_Meetings - Spring_Branch_ISD-2025-01-29-Board_Meetings,8,RELABEL_Spring_Branch_ISD-2025-01-29-Board_Meetings - Spring_Branch_ISD-2025-01-29-Board_Meetings.csv,0:16:00,0:18:00,"[16:00–16:30]
And math and student supports and CTE have made this growth possible. Again, you guys have placed
that at the top of your list and you talk about it and you ask for updates and you hold us
accountable, and that's important, and you need you should do that. And I don't think people
realize, you know, it's it's easy it's easy to sit at home or to even to sit in the audience and
watch the job that you all do and make make judgments. And that's okay, people can have their own
opinions. It's also easy to sit behind a keyboard and and send you all emails or post things on
social media that are maybe not kind, and I don't say this tongue in cheek, I mean it. You know,
when I read it, it's it's it's hard to read because.

[17:00–17:30]
people don't understand until you sat in the seat and you sat in the shoes how very difficult these
decisions are to make. You all have families, um, and it and I'm sure that when you go home, the ch
the stress doesn't just go away when you walk in the door. You know, you're carrying it home, and
your family is feeling it, and your husbands and your wives and your children. I mean, I know that
because mine do too. Um, only I am I'm paid to do the job, so that we might make it slightly better.
You are not. Your advocacy for public education funding um has been at at the top. In fact, at the
conference this weekend, everybody still talks about the spring branch.

[17:30–18:00]
Board of Trustees. I was approached about it in three separate meetings. If you guys were going to
be heavy on advocacy again, because so many so many boards took your lead. They were maybe a little
hesitant to jump in the scene last time, but they're gonna be in it this time because of what you
all did. And with the state's failure to address funding, you know, just working alongside the
district administration, we had to make significant budget shortfall and close our budget gaps. And
I think in my 24 years, I have not seen a board have to make the kinds of decisions that you had to
make ever. And I don't believe it had been done.",1,0.2951532276969045,0
RELABEL Chunk_Houston_ISD-2025-12-11-Board_Meetings - Chunk_Houston_ISD-2025-12-11-Board_Meetings,26,RELABEL Chunk_Houston_ISD-2025-12-11-Board_Meetings - Chunk_Houston_ISD-2025-12-11-Board_Meetings.csv,0:52:00,0:54:00,"[52:00–52:30]
Um what I saw from those teachers, uh, the engagement I saw from the students, uh, the the the
combination uh when I think about the teachers, a combination of skill, you know, pedagogy, and
genuine love and affection for these students, right? It it's no surprise to me that they went from
an F-rated campus to an A-rated campus. Um and so it also brings me great pride that the principal
is in Aggie. Um and but it was it was awesome to see that um in action. Uh what a what what a cool
experience that was.

[52:30–53:00]
Thank you. I would like to shout out a public part community partnership with Gregory Lincoln
Elementary School. I got a call from their awesome counselor, Levondia Menifee. So Rose of Sharon
Missionary Baptist Church and Hope Charity contacted the school wanting to partner and to give
little gift bags to the students. And our resourceful counselor said, yes, we will take them, but
what we need is coats.

[53:00–53:30]
And they asked what she needed. She said, I need 643 coats. And two weeks later they got them. So
um, so just um uh what appreciate her for her resourcefulness, and we want to thank the Hope Charity
and Rose of Sharon Missionary Baptist Church for partnering with our kids and getting them brand new
coats size to fit. So that's really wonderful. So I'd like to take the opportunity to thank the
businesses out there that have joined the Houston Promise that celebrates our teachers and

[53:30–54:00]
celebrates the success of our students. We appreciate them standing up and participating in the
events that have started already and that will continue through the end of the year. So I appreciate
them. It takes a lot of time, effort, and finances on behalf of the businesses. So we appreciate
you. So thank you for that. President Campbell, one more if you don't mind. I think I might have
mentioned earlier that my family is very involved with the Barbara Bush Houston Literacy Foundation.
I learned this evening talking to one of the Sunrise Center professionals here that",1,0.2854335057287977,0
RELABEL Chunk_Houston_ISD-2025-12-11-Board_Meetings - Chunk_Houston_ISD-2025-12-11-Board_Meetings,15,RELABEL Chunk_Houston_ISD-2025-12-11-Board_Meetings - Chunk_Houston_ISD-2025-12-11-Board_Meetings.csv,0:30:00,0:32:00,"[30:00–30:30]
This year, but it sure shines a light on the haves and haves nots. West Side, designed around a
beautiful library centered in the building like an atrium, is not on the list. Out of 270 schools,
11 libraries are functioning at a level that can be described as just above life support. The list
reads like a realtor's list of desirable Houston neighborhoods River Oaks, Pinoaks, Oak Forest,
Heights, Briar Forest, and Willow Bend. Those are the ones that will get the books. On the realtor
theme, I want to point out that selling long term assets for short term expenditures should be a
crime when we have no elected board. Fire Mike Miles.

[30:30–31:00]
Thank you. Speaker 6. Schools going to nonprofits and charters, you're sending the message. If you
do good enough, you'll be rewarded with not being part of HISD. HISD is not worth maintaining high
performance. The takeover is just a real estate flip. Data was the landlord's special. Making zip
code success irrelevant is just price fixing the market, allegedly a forte of one of our board
members.

[31:00–31:30]
There was no fixing the foundation. Ever ask a slumlord to repair repair or follow their own
policies, or heck, even the law. Good luck. And that's exactly how it feels to be a parent at HISD.
Compliance doesn't equal support. When you sit there and watch your kid break down, crying after the
fourth college denial letter that you know full well was a direct result of sped inequities. The
district standing there griping at you, me griping at you here is extreme, then fine. But I may be
unprofessional in your eyes, but you didn't full city hall. Thank you.

[31:30–32:00]
All remaining parent speakers, please come to the front row. Number seven, Jessica Dugan.",1,0.27966402590361195,0
RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,11,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings.csv,0:22:00,0:24:00,"[22:00–22:30]
to November of even numbered years would fix that. Here's why. Turnout skyrockets, often 60 to 75
percent, in even year November. Voters have already spoken. They participate in November. By keeping
elections in May, we choose a system that excludes the vast majority of taxpayers, parents, and
community members from having a voice. And it favors splinter.

[22:30–23:00]
Splinter groups. By moving elections to November, we strengthen legitimacy, transparency, and trust
in the board. So I ask the trustees to take one simple step. Please move board elections to November
starting in 2026. Let's give our community its voice back. Let's make our elections representative
again. And let's align with what voters have made clear. They don't show up in May, but they
absolutely show up in November. Thank you. Thank you.

[23:00–23:30]
Next next is Mr. Sean Dolan, followed by Donna McClur McElmury. Good evening. Uh as an Eagle Scout,
it's always good to see the Girl Scouts represented. Uh they they tend to get overshadowed a lot, so
it's great seeing that in the lobby. A couple of weeks ago, my son and I visited the state capitol.
Uh my son put on a suit, stood tall, uh, shook hands with a bunch of leaders, and enjoyed a tour
with uh state rep Michael Schofield. Uh and then we met a friend of mine in the Governor Abbotsall.

[23:30–24:00]
Governor Abbott's office, and after a few moments of talking with my son, she looked at him and she
said, You know, you're incredibly well spoken. And as proud as I was, I uh flash back to the day we
received my son's diagnosis, that uh moment that a lot of parents go through where your world kind
of tilts, and you wonder if your child is gonna be okay or if they're gonna fit in or if they're
gonna find their place. And um, my son is who he is today, in large part because of the
paraprofessionals people like Katie Elementary's Miss Jenny and Miss Adrian. Um",1,0.2788392544229718,0
RELABEL Chunk_Houston_ISD-2025-12-11-Board_Meetings - Chunk_Houston_ISD-2025-12-11-Board_Meetings,71,RELABEL Chunk_Houston_ISD-2025-12-11-Board_Meetings - Chunk_Houston_ISD-2025-12-11-Board_Meetings.csv,2:22:00,2:24:00,"[02:22:00–02:22:30]
Christmas present. They eliminated the star. And it wasn't by the inner city people, it's by the
folks in the boondocks, those GOPs, okay? Eliminated it. Said they didn't want any more ta testing,
endless practice testing. That's in the bill. I'm wondering why we're going over this. Y'all should
be packing. Get you some boxes. Go to the liquor store. Liquor store always has boxes. I'm
representing the community of Northeast where we're battling high water bills.

[02:22:30–02:23:00]
our center uh center point energy who has eliminated our uh electricity and of course we have the
creative they want to know why you uh have commercials thank you for eliminating the stuff that's a
very important thing to do

[02:23:00–02:23:30]
Hi, good evening. My name is Brooklyn Goria, and I'm a former HISD parent. My elementary age
children have contributed to this school year's approximately 8,200 student enrollment decline. The
shame comments tonight earlier, I'm sure they hurt and stung, and that's why they're probably quick
action by you, Mr. Campo. But I want it to be clear to those who are new to the board that the
people who attend these meetings and their voices and they speak out, those voices, they're not
outlier.

[02:23:30–02:24:00]
fringe voices. They're the majority. Um are shamed whenever HISD parents and teachers gather. You
are shamed in school parking lots. You're shamed when parents run into each other at the aisles of
HEB. You are shamed when we are at our children's sports events. You're shamed when we gather at
family functions.",1,0.27880395513364176,0
RELABEL_Houston_ISD-2026-01-15-Board_Meetings - NEW_Copy of Houston_ISD-2026-01-15-Board_Meetings,4,RELABEL_Houston_ISD-2026-01-15-Board_Meetings - NEW_Copy of Houston_ISD-2026-01-15-Board_Meetings.csv,0:08:00,0:10:00,"[08:30–09:00]
Compared to educators certified through traditional university programs. TEA data also shows that
60% of uncertified teachers leave public education workforce within five years, compared to about
40% of teachers certified through universities or alternative programs. On tonight's agenda is the
vote to extend the hiring of uncertified teachers in HISD for another four years. I hope you will
all vote in line with what the research suggests that we do. I should have just received my official
HISD email address. There's a delay on that. But once I do, I'm going to be reaching out to all of
you.

[09:00–09:30]
I'd love to meet for coffee, and I'd also love to invite you all to come and attend some of these
meetings I'm having with parents and teachers across the district. Thank you. Thank you. Did Trustee
Savant Moore come in? I don't think I saw him. Um let's go ahead. Um Trustee McDonough, you're
you're uh up. Good afternoon. If you don't feed the teachers, they eat the students. I suspect many
in this room are

[09:30–10:00]
I expect many in this room remember that book or have heard tales of it. Essentially, a primary
responsibility for any leader is to never lose sight of the fact that they have stewardship of the
lives they have the privilege of leading. As a new District 6 trustee, I would like to first
acknowledge the efforts of our teachers, counselors, social workers, clerical staff, and all those
who show up each day to support our kids. And as we engage with the work of this room, we should
never forget that they are the ones doing the most important work each day, and we clap for them.
Item 20 of the consent.""
5,00:10:00,00:12:00,""",1,0.27219999851256554,0
RELABEL NEW2_Chunk_Houston_ISD-2024-11-19-Special_Board_Meeting - Chunk_Houston_ISD-2024-11-19-Special_Board_Meeting,4,RELABEL NEW2_Chunk_Houston_ISD-2024-11-19-Special_Board_Meeting - Chunk_Houston_ISD-2024-11-19-Special_Board_Meeting.csv,0:08:00,0:10:00,"[08:30–09:00]
to the school. Listen to feedbacks. Our kids are struggling. We see it every day in our own homes.
If kids are struggling, why are we not correcting the path that we're on? Ask the hard questions.
The day you accepted to be part of this board, you took on the duty to do what is right for all
kids. I'll provide some examples. Is this the education I would like for my own children? If the
answer to that is no, what should it be imposed onto others? Are schools' disruptions via removal of
leadership teams and effective leadership strategy?

[09:00–09:30]
I think the answer to that is no as well. Is losing 40% of qualified education, educators, a
prediction of success? I think the answer to that is no. Is a massive loss of students of students,
a record loss of students in this past year, an indication of success? I think the answer to that is
no as well. Please look inside and make the right decisions. Thank you very much. Thank you, ma'am.

[09:30–10:00]
Leslie Copeland, please turn your camera on. You may begin. My name is Leslie Copeland and I am a
Landtrip Elementary School parent. I am here celebrating National Parent Involvement Month with A
Prime B. How did you think I would vote yes to a bond when you are providing unstable school
environments by removing principals from the entire school district, then playing musical chairs by
moving administrators to different campuses only three months into the school year?",1,0.269852288901312,0
RELABEL Chunk_Houston_ISD-2025-12-11-Board_Meetings - Chunk_Houston_ISD-2025-12-11-Board_Meetings,70,RELABEL Chunk_Houston_ISD-2025-12-11-Board_Meetings - Chunk_Houston_ISD-2025-12-11-Board_Meetings.csv,2:20:00,2:22:00,"[02:20:00–02:20:30]
life. He hopes you will not notice that by deleting ELA local without providing the replacement, you
don't even know what you were voting for. You didn't internalize your Michelle Williams, Houston
Education Association, and I'm speaking on behalf of the Special Education Monitoring. You can add
this to your monitoring report. TA investigated the following allegations. Did the LEA ensure that
the individualized education programs, IEP of students on NES campuses were

[02:20:30–02:21:00]
implemented in accordance with 34 CFR. TEA determined the following noncompliance and required the
corrective actions of the LEA. The LEA did not ensure that it implemented students' IEPs in
accordance with 34 CFR. You all removed my principal, he's the scapegoat. But I did a favor. I filed
an educator misconduct complaint for all the people in the North Division because y'all have a high
performance culture.

[02:21:30–02:22:00]
Culture, and I don't thank me. It's the least I could do for H I S D. Thank you. Thank you. My
goodness, this is a top public education has done well. Did you hear these people? And I think I'm
old enough to have taught some of you. Thank you, thank you, thank you, thank you, thank you. I
thought we also had a great Christmas present, Mr. Superintendent Miles. You got a good",1,0.25408412793793184,0
RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,13,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings.csv,0:26:00,0:28:00,"[26:00–26:30]
tiny fraction of the district's overall budget and less than 2% of the fund balance. If we can
afford optional expenses, we can afford the people who shape our children's future. Thank you. Thank
you. Donna McIlmurray, followed by Margaret Daniel. My name is Donna McIlmurray, and I'm speaking on
the topic of election days.

[26:30–27:00]
Regarding the issue of when school board elections are held, I strongly urge the board to move our
elections to November. For the last 10 years, KDISD board elections in May have had single-digit
voter turnout. In the most recent election, May of 2025, turnout was only 7.5% of district voters,
which means nearly 93% of eligible voters did not participate. In May 2016,

[27:00–27:30]
2016, only 2% voted, and in May 2017, only 2.5% voted. Over the last decade, excluding 2020, that
means roughly 93 to 98 percent of our voters did not vote in our school board elections. This
extremely small fraction of voters is choosing board members who oversee an operating budget of more
than 1 billion dollars and make critical educational decisions affecting tens of thousands of
students.

[27:30–28:00]
To give one example, this past May, one of the races was effectively decided by about 0.6% of our
approximately 240,000 district voters. I would hope the board wants greater representation from the
community in determining who holds these important positions. In my own neighborhood, I've seen
firsthand that before a May election, most voters don't even realize an election is taking place. By
contrast,",1,0.25214867562992677,0
RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings,20,RELABEL_Chunk_Katy_ISD-2025-12-08-Board_Meetings - Chunk_Katy_ISD-2025-12-08-Board_Meetings.csv,0:40:00,0:42:00,"[40:00–40:30]
School board elections should reflect that reality. Candidates should be expected to campaign across
the entire district to reach out to all voters and to earn the trust of every community, not just a
small circle of consistent May voters or familiar insiders. Some call that group informed voters.
Many in the public see something very different. And I want to raise one additional concern. Last
month, Trustee Kazella proposed creating an ad hoc committee to seriously study this issue.
President Redmond, you said you would consider it. To date, there has been no update that I've

[40:30–41:00]
seen or heard about, and the community deserves transparency and a clear answer. Has this request
been acted on, or is it being quietly swept aside? The community deserves transparency and a clear
answer. Thank you. Thank you. Next will be Ms. Claudia Turkoff. Good evening, trustees and Dr.
Grigorsky. I'm here tonight to advocate for moving May school board elections to the month of
November. KDISD has historically had a bid.

[41:00–41:30]
Historically had abysmally low voter turnout. Last year was the highest turnout ever at 7.5%, with
the exception of 2020, which was a November election, also. That means basically 93% of the
electorate are unrepresented. KDISD should be doing everything possible to ensure the broadest
participation of its citizens. In contrast, most bond elections do take place in November. I find
that odd. Why wouldn't the people who we elect to approve said bond packages not also be afforded
the same accessibility and visibility that an

[41:30–42:00]
Visibility that a November election would offer. Also, and I'm truly asking this question because I
don't know, would it not be more cost effective given that November elections take place every other
year instead of the annual May elections? And I also feel like I need to say that if Ms. Cuzella's
idea of an ad hoc committee had been followed through on maybe there could have been ways that y'all
could have discussed bringing that into a reasonable budget or a comparable budget to the May
elections. I've listened to some of the discussion on this topic in previous meetings. I have yet to
hear a",1,0.2518324911623816,0
