transcript_id,chunk_id,source_file,window_start,window_end,text,binary_hit,predicted_probability,predicted_label
RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings,54,RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings.csv,1:48:00,1:50:00,"[01:48:00–01:48:30]
Arrived. As mentioned at the HISC press conference on Wednesday, Superintendent Mike Miles suggested
that we were likely a D or D minus school, considering the changes described. Durham is actually a C
school this year. Yes, our scores dropped from 81 to 75, a six point decline. On August 12th, the
same day as the press conference, we were told that this six point drop, regardless of letter grade,
triggered Durham's School of Focus designation. When we asked district officials if Superintendent
Miles' statement was incorrect, we were told it was not incorrect, but incomplete.

[01:48:30–01:49:00]
The reality is that a school can be labeled a school of focus even without a D-rating if schools if
scores are subjectively deemed to have decreased too much. To be continued.

[01:49:00–01:49:30]
On July 31st, Durham Elementary was assigned a brand new principal. The very next day, August 1st,
we were informed that our campus had been designated a school of focus. For any school, either of
these changes on its own would require time, planning, and strong support. Having them back to back
meant our campus was navigating a great deal in a very short window. Given the scope of these
changes, it would have been helpful to have dedicated guidance and resources in place immediately to
support our staff and new leadership team.

[01:49:30–01:50:00]
That level of support did not begin until August 8th, just days before the start of school, when
many of our major when many of the major announcements and adjustments began. This meant our new
principal only two days into the role was tasked with understanding and making significant changes
to curriculum and staffing. Thank you. Thank you. My name is Abby Stargil and I'm here tonight",1,0.040783186,0
RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings,28,RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings.csv,0:56:00,0:58:00,"[56:00–56:30]
both ways and help campuses get teachers trained to teach in-person and virtual if they want to.
Optional or the fee-based virtual courses, which we're already doing outside the instructional day,
we call that eighth and ninth period. I'm going to turn it over to Carrie. She has been instrumental
in setting up our KSAT framework, works closely with Mr. Merriman, but she does elementary and
secondary KSAT, and so talk about that summer semester. Thank you. So virtual coursework for
original credit is actually something we've been doing for quite a while in KDISD.

[56:30–57:00]
over 10 years. So this isn't really anything new. We have been increasing our enrollment every year
in our virtual course offerings. We had over 8,500 unique students selected summer courses this
summer with us. So we're really excited because that's an increase of almost 1,400 students over
last summer. We did offer, or we did actually have over 15,000 semester courses requested this
summer by our students in our two summer.

[57:00–57:30]
original credit terms. The first one is from May 28th to June 26th, and our second semester term
will run from July 1st through July 30th. So we're wrapping up that first semester right now and
getting ready to launch our second. During these semesters, we're offering 37 unique courses for
students to take. And we have over 200 teachers that are unique virtual trained teachers that are
managing and teaching these courses for us.

[57:30–58:00]
Each one of these teachers has an additional revenue stream, which is great. We're excited to be
able to offer that to our staff. These are KDISD teachers who are earning $100 per student per
semester for academic courses that they teach, and $150 per student per semester for any CAT or AP
courses that they're teaching.",1,0.03593328,0
RELABEL_Katy_ISD-2025-03-31-Board_Meetings - Chunk_Katy_ISD-2025-03-31-Board_Meetings,23,RELABEL_Katy_ISD-2025-03-31-Board_Meetings - Chunk_Katy_ISD-2025-03-31-Board_Meetings.csv,0:46:00,0:48:00,"[46:00–46:30]
Increased marketing are also false. A comparison of the Miller Facebook posts since 2021 show 41
posts for culinary arts, 29 for manufacturing, and only 11 for film, only four of which were for
promotional purposes. Additionally, the Miller website does not list the film program on its course
offerings page. Another justification was to expand manufacturing by relocate reallocating the film
classroom to architectural design and using the staff position to hire another instructor. However,
she admitted that no alternatives like portable classroom.

[47:00–47:30]
Like portable classrooms or requesting additional staffing were considered. This was a calculated
effort to reduce interest in the film program and justify its termination. The decision harms the
district's interest. 88% of the Miller film crew are Miller film students who provide A V services
for the Rhodes and Legacy Stadium events. Hiring professionals for the football and graduation
ceremonies will cost $271,000 compared to $67,000 with the Miller film crew. That's a 303% increase.

[47:30–48:00]
The savings alone cover the cost of an additional teacher and a portable. The alternative courses
being provided for current students to complete their CTE pathways are not comparable to the Miller
Film Program. Miller Film students are Texas Thespian National Short Filists, achieved state UIL
recognition, and were named 2023 Texan Live Student Multimedia Program of the Year. Our community
stands with me. 750 people have signed the petition to the save. Thank you. Thank you very much.",1,0.034781985,0
RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings,16,RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings.csv,0:34:00,0:36:00,"[34:00–34:30]
All right. Do we have any scouts in the audience tonight? Students that are scouts that have not
been introduced yet. How about that?

[34:30–35:00]
See some adults that are scouts. All right. Well, board, we're we'll make a small change uh if
you'll allow it in our uh agenda tonight, one of our presentations, uh academic presentation,
highlights of our music program, kindergarten through twelve. We have uh several uh families and
performers, and so we were gonna go ahead and uh allow them to make that report to us uh before we
go into uh public comment and close and all those things. So um that being said, I uh turn uh over
to our uh highlights of our music programs.

[35:00–35:30]
kindergarten through grade 12. Presenters Damon Archer, Executive Director of Fine Arts, Ms.
Lakeisha McGowan, Assistant Director of Fine Arts, and Sus Chibroski, Assistant Director of Fine
Arts. Good evening, President Redmond, Board of Trustees, and Dr. Gogorski. It is an honor to give
the annual Fine Arts Department update. This year's update will concentrate on music education and
our music programs K through 12. The framework we will be utilizing for this presentation will
target four areas enrollment, achievement,

[35:30–36:00]
Development, achievement, engagement, and opportunity. These areas comprise a system that indicates
success in the fine arts department and programs. In KDISD, we have over 15,000 secondary students,
grades 6 through 12, enrolled in music classes. When students enter sixth grade, they are able to
focus their music learning into several paths. They may select an instrumental path of band or
orchestra, or they may choose the vocal path of choir. In grades K through 5, 41,000.",1,0.030776203,0
RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings,19,RELABEL Chunk_Katy_ISD-2024-12-09-Board_Meetings - Chunk_Katy_ISD-2024-12-09-Board_Meetings.csv,0:40:00,0:42:00,"[40:00–40:30]
Electrification offers a diverse range of benefits stemming from sustainability within institutions
to financial viability. The process of electrifying school districts allows schools to improve
improve finances by acquiring potential funding opportunities, and this transition to renewable
energy also serves as a development for significant infrastructure improvements through the use of
various funding opportunities and programs. By embracing electrification, districts can refine their
institutions and create healthier learning environments as well. This financial benefit alleviates
stress placed on school budgets and makes electrification far more feasible with a greater chance of
success for the students and the staff alike.

[40:30–41:00]
Thank you so much. Thank you. The next speaker is Elizabeth Griss. Elizabeth Griss. Good evening.
I'm a proud educator in KDISD. I'm a second-year transition teacher for Katie High School and was a
Katie Plus teacher for four years prior to that. I would like for you to imagine going to the same
school for potentially eight years, seeing the same walls, attending the same school events, and
potentially completing the same job tasks and job sites.

[41:00–41:30]
Imagine the redundancy and monotony. Imagine having to return to the same school the August after
you graduate and notice that you are one of the few of your peers that have returned. Didn't
graduation mean you were done? Why then are you back in the same school? Why are you at 18, 19, 20
years of age, eating in the same cafeteria as a 15-year-old? This is what our KD Plus students face
every day. The lack of change can cause regression, boredom, complacency, and in some cases, an
increase in negative behaviors. Let's also consider the purpose of transition.

[41:30–42:00]
programming mandated by the government. Adult student transition programs are educational programs
that provide instruction and age appropriate community environments to adult students. The primary
goal of these programs is to prepare students with disabilities for adult life in their communities,
whether that be for further education, employment, or living independently. The success of these
programs are highly hinged upon many factors, but when we look at statistics, we can see very little
success. Only 31% of Texans with disabilities are employed. 66% are not even in the labor force.",1,0.030330447,0
RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings,78,RELABEL_Houston_ISD-2024-11-14-Board_Meetings - Houston_ISD-2024-11-14-Board_Meetings.csv,2:36:00,2:38:00,"[02:36:00–02:36:30]
Miles have not listened, and now the voters of the Houston ISD district voted overwhelmingly against
this, even though the schools definitely need the infrastructure. And the school board, or excuse
me, board of managers, you're not a school board, is going to put up another bond. What do you think
the people will say if over the last two hours and 100 speakers plus have been trying to talk to
you?

[02:36:30–02:37:00]
But again, you're not listening. You may hear us, but you're really not listening to us. And for
now, what are you gonna do? Continue the failed policies of the last year and a half? Laura Henry.
Please unmute yourself and you begin. I'm Laura Henry here to talk about high-quality instruction.
There's a 2017 Forbes article last taught in HISD as part of the accelerated packet.

[02:37:00–02:37:30]
Activities involved writing a new thesis statement for an already published article and then writing
an essay. No time provided for revising, just 45 minutes to do work that was never mentioned again.
The article was about WeWork before the bankruptcy. When I taught it, I realized kids didn't know
about WeWork. So we stopped, no timer. I showed them a video, we talked about soft bank, private
equity, and unicorn companies. And when one of my classes swore that unicorns were real, we stopped,
Googled, found the most reliable source, and learned what unicorn while unicorns were not real,
there could have been a similar creature 350,000 years ago. Our primary teaks was still covered, but
now

[02:37:30–02:38:00]
the kids understood what they were reading and writing about. We researched vetted sources and
created mental images, all important and non-tested teaks. You can best guess multiple choice, but
you can't fake curiosity and true understanding. We lose a lot when we don't give kids time to
learn.",1,0.029737335,0
RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings,8,RELABEL_Katy_ISD-2025-06-23-Board_Meetings - Katy_ISD-2025-06-23-Board_Meetings.csv,0:16:00,0:18:00,"[16:00–16:30]
If so, then why has the district kept Hitler's personal memoir, Mein Kampf, where he says, and I
quote, the personification of the devil and the symbol of all evil assumes the living shape of the
Jew? Why is this in our libraries? The district has also continued its policy of forcible identity
disclosure, alienating transgender individuals in our schools. A 2022 survey of trans individuals by
U Toronto says that school belonging made a unique and statistically significant contribution to
suicide rates. The same study also finds that 82% of trans individuals have considered killing
themselves. KDISD has 100,000 students and 3% of U.S. high school students.

[17:00–17:30]
US high school su US high schoolers identify as transgender. That means that at least 3,000 students
will have their livelihoods fundamentally shaken by the decisions of this board in a way that no
parent or teacher could ever bear. I am urging this board to finally stand up for its students and
take proactive measures to support them. This isn't a culture war that can be relegated for later
discussion. This is a matter of life and death for the students that you purport to protect. This is
your job. Now is the time to take action and reverse course. Returning to Wisconsin versus Yoder,
even if I believe in general that choosing not to attend high school like the Amish did is harmful,
it would be absurd to say that affording them the right to opt out.

[17:30–18:00]
means we force that agenda upon others. Similarly, believing that recognizing queer existence would
infringe on the rights of others is equally absurd. However, Senate Bill 12 recently passed in the
Texas legislature and is a matter of concern to me. It bans clubs related to LGBTQ identity entirely
in the state of Texas. This is not a parental choice. This is a concerted erasure of spaces in which
queer students are allowed to exist. I urge the board not to be complicit in this violent and unjust
destruction of being. Martin Luther King Jr. once said in his letter from Birmingham Jail one has
not only a legal but moral responsibility to disobey.",1,0.026770972,0
RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings,23,RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings.csv,0:48:00,0:50:00,"[48:00–48:30]
Atmospheric communication enhances the brain's ability to synthesize logic and creativity, analysis
and intuition. Jamie Casper, Director of Arts Educational Partnership, states you teach the
fundamentals of making art. Your instrument, your voice, your body in motion, painting, sculpture,
whatever it is, so that students can take those skills and use them to communicate more effectively.
According to MIT in a column from the publication Advice for Life, when a child learns to play an
instrument, their brain is not just passively absorbing.

[48:30–49:00]
Absorbing sound. It's engaging in a high level multi sensory workout. Reading music involves visual
decoding. Playing it requires fine motor skills and spatial coordination. Listening trains auditory
perception, and performing demands emotional expression and memory recall all at once. This kind of
integration activity is rare, and it's precisely why neuroscientists have found that music training
creates wide reaching changes in the brain structure and function. Music doesn't just prepare

[49:00–49:30]
uh prepare children for school or work. It teaches focus, patience, collaboration, and the ability
to sit with emotion rather than escape it. There aren't these aren't just educational perks. They're
survival skills in a society increasingly defined by noise, distraction, and disconnection. And
finally, the future will always demand technical fluency, but more than ever, it will require
children who know how to listen carefully, curiously, and courageously, and music may be one

[49:30–50:00]
Maybe one of the best teachers we have.",1,0.025112227,0
RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings,56,RELABEL_Houston_ISD-2025-08-14-Board_Meetings - Chunk_Houston_ISD-2025-08-14-Board_Meetings.csv,1:52:00,1:54:00,"[01:52:00–01:52:30]
fifth grade students who were already using the HISD math curriculum scored at or below the district
average. Last year's second and third grade students thrived by receiving a carefully planned
curriculum, and their scores support this. This year's students and teachers are being forced into a
system that has not produced the same level of success and with almost no time for teachers to
adjust. This story is to be continued. We are not opposed to necessary changes. We are opposed to
poorly planned disruption without proper support and resources.

[01:52:30–01:53:00]
Hello, my name is Lauren Neemeyer. I'm also a Duran elementary parent. Unfortunately, the story
doesn't end there even after the first day of school. After students had settled into their
classrooms, teachers were informed of yet another last minute change. Despite having Miss Balderis
and other district leadership on site, during much of the professional development time on campus,
teachers were required to rearrange their classrooms, desks during the first day of school. Some
were rearranged in the middle of the day, while others were at least given the opportunity to
rearrange desks after school. The next day, children walk into their second day of school, found
classrooms with unfair.

[01:53:00–01:53:30]
On classrooms with unfamiliar layouts, their routines were disrupted, their sense of stability
shaken, their ability to focus were affected before the day even began. For young children,
classroom and environment is foundational. And for teachers, it meant another day of scrambling to
adapt. If classroom layouts uh were unacceptable, there was ample opportunity to provide their
feedback prior to students arriving on campus. Mr. Mell board your comments today earlier conveyed
to me a respect and reverence for teachers. This is not that. It's disrespectful. Thank you.

[01:53:30–01:54:00]
Speakers 21 through 30, please move to the front row. Should I wait? No, go ahead. Okay. Um, Nicole
Felice, another Durham parent, thank you. Uh the pattern of last-minute high impact changes
highlights exactly what we've been trying to communicate. It's not the change itself that's the
problem. Durham Elementary welcomes thoughtful adjustments and improvement improve student learning
outcomes. The problem is when changes are made suddenly, without time to prepare, adapt, or",1,0.024067307,0
RELABEL_Spring_Branch_ISD-2024-08-26-Board_Meetings - Spring_Branch_ISD-2024-08-26-Board_Meetings,8,RELABEL_Spring_Branch_ISD-2024-08-26-Board_Meetings - Spring_Branch_ISD-2024-08-26-Board_Meetings.csv,0:16:00,0:18:00,"[16:00–16:30]
About e r each recognition, Dr. Wolf will invite each group of honorees up to come forward and be
recognized. Thank you again, Trustee Bennett. We're very proud on the academics team to have another
award this evening. The Texas Art Education Association, TAEA, has announced the 94 winners of the
2024 District of Distinction Award. TAEA is the leading advocate for the visual arts in the state
and the largest state professional organization for art educators in the U.S. The organization
recognizes and celebrates Texas school districts that meet rigorous criteria.

[17:00–17:30]
Criteria. This is the fourth year that TAEA is honoring SBISD with this prestigious designation. For
the 2024 award, over 1,200 districts were eligible to apply. Each district submitted documentation
that they met from the 14-point rubric over the course of the school year, but only 94 districts met
the high standard and will receive the outstanding honor, indicating that they are the top 5.5% of
art education programs in the state of Texas. The districts of distinction will be honored during
the TAEA fall conference to.

[17:30–18:00]
Fall Conference General Assembly on Friday, November 15th. Winning this award is a testament to the
hard work of our art educators, student artists, and the widespread community support of the arts in
SBISD. I'm so proud of our visual arts team for inspiring their students and impacting their
communities through their campus art programs. Hats off as well to our fine arts director, Houston
Hayes, as well as our visual arts coordinator Lindsay Ripley. I'd like to invite Lindsay to come up
and honor our arts educators.",1,0.02287616,0
