chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Okay, good evening. Good evening. Uh this meeting is now conveyed at 5 06 p.m. I'd like everyone uh
to please silence all cell phones. A quorum of the board members is present in the board auditorium.
We will now um be joined by a member of the junior reserve officers training corp to lead our our uh
pledges. I would like to ask board vice president Angela Mon Flowers to introduce

[00:30–01:00]
tonight's pledge leader. Thank you, President Campo. Cadet Major Maria Sanchez is a senior at
Kashmir High School, where she has been enrolled in the JROTC program since her freshman year. She
is serving as the Army JROTC 12th Battalion Mighty Rams, Battalion Commander for this school year.
Cadet Sanchez is a member of the JROTC drill team and academic team and captain of the archery team.
Among her many achievements in the JROTC.

[01:00–01:30]
program, she has been awarded the Superior Cadet Award, Distinguished Cadet Award, Cadet of the
Month, and numerous academic and achievement ribbons following her attendance as JROTC Cadet
Leadership Camp as a freshman. Cadet Sanchez currently holds a 3.8 grade point average. Upon
graduation, she plans to attend the University of Houston and major in computer engineering. Cadet
Sanchez. Please ride for a moment of silence my question.

[01:30–02:00]
Please remain standing for the pledge allegiance and pledge the Texas flag. I pledge allegiance to
the flag of the United States of America and to the Republic for",0,5
1,0:02:00,0:04:00,"[02:00–02:30]
which it stands, one nation, under God, indivisible, with liberty and justice for all. Now for the
Texas flag. Honor the Texas flag. I pledge allegiance to thee, Texas, one state, under God, one and
indivisible. Thank you, Cadet Sanchez. Thank you, Cadet Sanchez. Appreciate that. Before we begin,
uh some

[02:30–03:00]
opening remarks. Um, I would like to uh recognize um public officials that are here today. We have
uh Trustee Savant Moore, uh Placidio Gomez here as well, right? Okay, we also have City Council
member Mario Castillo. Great to have you here, thank you. We also have uh Donny Hernandez. Where
there you go, good to see you too. Did I miss anyone? Okay, great. Before we move into um into our
uh meeting business tonight, I'd like to first congratulate our amazing campus principals and
teachers for.

[03:00–03:30]
a successful start to 2025 or 2620 25 26 school year. This week marks the beginning of the third
year of the transformation, and your hard work is fueling our students' gains. Thank you. We really
appreciate your hard work. There is so much to be celebrated. A few highlights from the first week
of school. We began this year with only two teacher vacancies on our first day of school. This is a
huge feat for a system with over 10,500 teachers.

[03:30–04:00]
Power, water, or HVAC outages at any of our schools, even with 100-degree weather. This is a
Herculean feat given our aging building infrastructure. Thank you to our operations team for their
work around the clock to ensure buildings are safe and comfortable for learning. Thank you.",0,5
2,0:04:00,0:06:00,"[04:30–05:00]
Transportation. Families, thank you for trusting HISD to transport your transport your child. The
transportation call center continues to work with families to resolve issues and to make sure
students get routed properly. Board member member Arnold, uh you had the opportunity to visit some
schools with uh with uh Mr. Miles uh this week uh on the first day. So would you like to share your
experience? Thank you, President Campo. I did have the privilege of visiting um Milne and Valley
West Elementary School on the first day of school and Henderson Elementary School.

[05:00–05:30]
this morning. I would like to share how truly impressed I was during my visits. Students were
actively engaged and teachers had such command of their classrooms. Students were learning both on
the first day of school and today on the third day of school. And I want to sincerely express my
gratitude for the teachers who welcomed me and others into their classrooms. It was such a delight
to be in their presence today. I am humbled in their presence. I also got to cheer at

[05:30–06:00]
To cheer um at one of our student celebrations at Valley West Elementary School this week. I am so
excited for the Valley West manatees. I know we're going to hear additional exciting news from that
campus. They have had tremendous success and achievement in the past 12 months, and I know there is
more good news to come, Mr. President. Thank you. Thanks for your uh update. Um in the past, we've
done uh board member comments at the end, and there's not very many people here, so we decided that
we move to the front so of the meeting. So uh with that, I'm gonna ask.",0,5
3,0:06:00,0:08:00,"[06:00–06:30]
board members for any comments. Um, Lauren, uh, I think you have some to say. I do. Thank you,
President Campo. Look, at the risk of oversimplifying this, um, our job as one team that's board,
parents, teachers, advocates, faculty, staff is twofold, right? Take care of students, take care of
our tax dollars. And you know, we've seen the incredible results on the take care of students
academic side, so I think we'll hear a lot hear a lot more about that, which is very exciting. Um I
saw something I wanted to highlight um on the

[06:30–07:00]
finance side, which is really great, the the taking care of the tax dollars. So I want to
congratulate the HISD team for saving the district $150 million in future interest payments by both
paying off principal early and refinancing uh other debts at lower rates. So this is like really
incredible staying on top of the game, crossing the T's, dotting the I's, blocking and tackling type
of finance stuff. And we saved $150 million on interest payments and stuff. Really good stuff. And
not it's not just us recognizing this, the finance team has also been.

[07:00–07:30]
awarded the Certificate of Excellence in Financial Reporting from the Association of School Business
Officials. ASBO, I don't know if that's actually how you say it, but ASBO. And the Certificate of
Achievement for Excellence in Financial Reporting from the Government Finance Officers Association.
Really great, really great stuff. So congratulations to Dr. Jim Terry and the entire financial team,
finance team. Your work ensures we remain strong. Stewards of the public funds. So thank you very
much. So no and I'll say, look, we got a lot of that's good.

[07:30–08:00]
Look is good, but we we got a lot of work to do. No story is perfect. We're not there yet. We have
to continue doing our job and getting to work and doing the basics well to make sure that that we
keep this district strong financially. So thank you and I think it's great. Uh thank you. Uh we
appreciate that. Um other board members. Go ahead. I'll go ahead. Um my wife and I had the privilege
and almost the I guess it was an honor last Wednesday to attend the convocation that was held at
Delmar Stadium uh just nearby.",0,5
4,0:08:00,0:10:00,"[08:30–09:00]
nearby. And there were several thousand students teachers there and principals. And it was one of
the great pep rallies I've ever seen. And hearing the teachers from across the district cheer and
and get excited, come with their signs and t shirts and everything, but also to listen to the
various speakers, uh the skit they put on to kind of acknowledge the challenges that teachers and
principals face every day in their teaching. They had a variety of different uh ideas on the stage
speaking and then to hear uh

[09:00–09:30]
Uh uh Superintendent Miles gave his presentation on the success of the uh school year at 24 25. I I
think the one thing we cannot give enough credit to while the kids have obviously done extraordinary
work, without question, it's it's their work that we are attracting. But that work doesn't come
individually. That comes with extraordinary effort by the teachers and by the principals, and of
course by the administration above them. But the day to day work it takes to make this a successful
project, i.e., a successful initiative, and one of the great initiatives we have to do for the city
of Houston, was really impressed. And that's the

[09:30–10:00]
first time it had so many. I never wanted to be around that many teachers, to be honest with you. I
was always worried about that. But uh that many teachers that had had had so much enthusiasm.
Congratulations. That's great. Great. Yes, I'm gonna piggyback a little bit off of Marty talking
about the success of the kids, and it is the kids that are taking the tests that are learning, but
uh as well as the teachers and the principals. And like Michelle, I was able to visit some schools
today, and um you know, we have a wonderful school, Mickey Leland School, who is named after a great
man that is an incredible school.",0,5
5,0:10:00,0:12:00,"[10:00–10:30]
And the passion that the principal has for that school is just overwhelming. What he wants to do
with that school, he's I think he's starting his second year there, and what he wants to do with
that school is is wonderful. I also went to Henderson and the principal there, the passion and the
pride they have for the achievement that they've made with the students. And then I was able to sell
go to the Navarro celebration, who's also named by someone that I called a friend and maybe more of
a mentor, and to know how well that that school has done and what they've achieved and the pride
one.

[10:30–11:00]
And the pride once again of the principal to stand before his students and the teachers there to
say, you all did this. It's not me. I may be your leader, but you're the ones making the difference.
So uh I was very appreciative and uh look forward to some more visits tomorrow. Thank you. And I had
the pleasure of attending our summer school graduation for our summer graduates for all of our high
schoolers. And Chief Matsy gave a wonderful commencement address and inspiring to our kids. It was
just a wonderful celebration.

[11:00–11:30]
of our students' resilience and the fact that they've got that can do spirit and that they are
looking to achieve and be successful. So it was a wonderful, wonderful celebration. And to add,
after I went to that celebration, I went to Cafe Pique, my favorite little place to get a snack, and
I saw I recognized five HISD employees from Bel Air High School, teachers and teacher leaders. One
of their students had to bus tables and work that day, and they brought him his diploma. And
literally, I was just they're getting a snack.

[11:30–12:00]
and caught just our teachers and our teacher leaders caring about kids going the extra mile, not
because anyone knew about it, but because they wanted to celebrate the success of their students. So
I really appreciate um all of our students, and it was a really wonderful uh celebration with them.
So thanks. I'll just throw out a little more there. We go. I just want to pile on a little more. Um,
congratulations to you, Mr. Miles, and to your team every single",0,5
6,0:12:00,0:14:00,"[12:00–12:30]
administrator and teacher in HISD. But no one, I I don't doubt, like everyone's worked hard. Every
teacher, everyone has worked hard, has been working hard, and and I appreciate all the efforts. But
what's different is you've created the conditions for that hard work to pay off in dividends that
we're seeing that are just accelerating and advancing in ways we never ever expected to see. So
we've, you know, I I've been on this board expecting this. You know, this is this has been a target,
but the conditions that have been created to see the results that we are starting.

[13:00–13:30]
to see is just is is really impressive, really amazing. And so I'm so excited to be able to um watch
our students and teachers um reap these benefits and I I just can't wait to see more. So so thank
you. Okay, great. Well I appreciate that uh great updates. Um uh we're gonna now move to the report
of the superintendent uh it's gonna talk about the um update on our twenty twenty-four-2025
accountability report and then we're gonna follow up uh",0,5
7,0:14:00,0:16:00,"[14:00–14:30]
Okay.

[15:00–15:30]
No, no, no.

[15:30–16:00]
I got it. We're good.",0,5
8,0:16:00,0:18:00,"[16:00–16:30]
The anticipation is building. I know. I would tell a story, but probably should. Running the A team.

[17:00–17:30]
Yeah.

[17:30–18:00]
It's funny, you can't do this by the cloud. You gotta do this hardware, you know. It is it is very
interesting.",0,5
9,0:18:00,0:20:00,"[18:00–18:30]
We can also use one of the things that try this. Do you mind to a table?

[18:30–19:00]
Yeah, sorry. I think they would have tested this. This this this should not be going out of public
because given our

[19:00–19:30]
Shoot your foot off, this is one way to do it.",0,5
10,0:20:00,0:22:00,"[20:00–20:30]
Yes. Where do you guys call this?

[20:30–21:00]
Yeah. So how did you meet Kristen? How did you meet Kristen? I don't remember how I actually met
her. It's her and Amber. Amber should have called it.

[21:30–22:00]
All right, sorry about those technical difficulties. We probably have problems with this program.
Anyway, let's get started. Board President Campo, members of the board. Um I want to talk about our
accountability scores and recognize a few schools. I know it's late in the evening and we've had uh
a lot of other accountability scores, so I won't give you a lot of graphs, uh, but I'll just give
you the headlines. Uh you have",0,5
11,0:22:00,0:24:00,"[22:00–22:30]
in your packets a lot more data, and over the next uh couple weeks we'll give you even more. Um,
especially as the commissioner will announce final accountability ratings tomorrow. So after that
meeting, we'll give you if there's any differences. We don't expect uh any if or many if any uh
tomorrow, but um we'll give you some more information then. So tonight I'll go pretty fast. But the
the biggest thing, the biggest headline I want to talk about is

[22:30–23:00]
Is this. And geography no longer dictates destiny in HIC. If you are an educator, you know that this
is something that we in the profession have dealt with for a long, long time, especially in large
and medium-sized urban districts. If you go to any large district and look at a map of the city, and
if you know the city, you actually can put dots where you're

[23:00–23:30]
Where your D and F campuses are, or your struggling campuses. And you would put those dots in the
areas where the students are challenged by poverty or language barriers. And that alignment of poor
performing schools, struggling campuses, and poverty and language barriers is pretty tight in most
large German districts, and was the case in HISD in 2023. Take a look at this map. The red school,
the red dots.

[23:30–24:00]
are F rated schools, D dots are pink rated, uh pink or D rated schools, and there were 121 of them
in 2023. And are and yes, we have A and B campuses. We had 93 A and B campuses, the green dots and
the dark green dots. And you could do this. And those of us, well, you, I've I've only been here two
years, but even I know some of the areas of town where uh the the students",0,5
12,0:24:00,0:26:00,"[24:00–24:30]
and families are challenged by poverty or language barriers. I also know that that area where there
aren't any circles is our higher performing but higher resource families for the most part. That is
zip code dictating destiny. This is what it is today. If you don't know Houston and you look at a
map like this,

[24:30–25:00]
and we challenge you to look at the areas where the kids are poor performing or struggling or
challenged by poverty, you wouldn't be able to tell tell this. For the first time ever, when we
started school on Tuesday, not one HIC student attended a failing campus. We went from We went from
56 F rated campuses two years ago to zero F campuses. And on the other side,

[25:30–26:00]
we went from 93 A and B schools to 197 A and B schools. Looking at that, we are giving
opportunities. What this really means, what this really means, I give you numbers, but what it
really means, and I wish people could just honor our kids for a moment and respect their success.
But what this really means is that more.",0,5
13,0:26:00,0:28:00,"[26:00–26:30]
kids are reading at grade level, doing math at grade level, more kids are attending A and B
campuses. You know that we have 80,000 students more attending A and B schools this year than they
were two years ago. 80,000 more attending A and B campuses. And so the the kids have done remarkably
well, and of course, they can't do it without teachers. They also can't do it without parents, and
they can't do it without a support.

[26:30–27:00]
Do it without a supportive commute community. And everywhere I go, and I've been in several schools,
I think six this week so far, the kids are just celebrating their success. They know what they may
not know exactly what it means, but their parents do. Because if you can read at grade level, do
math at grade level, do science at grade level, then that means your career in middle school and
high school will be stronger. And life after high school, you'll be more competitive to try to get
into college or a high-wage, high-skill job.

[27:00–27:30]
Wage high skill job. That is opportunities for kids. That's what the numbers mean. And the last
thing I'll say about this this destiny is not geography, or geography is not destiny, is that when
there's a need for a lot of change in desperate times, it starts with hope. And a belief that it can
be done. Two years ago, a lot of people did not believe this could be done, especially not in two
years. And now more and more people believe that it can be done.

[27:30–28:00]
and not just people in Houston. Outside of Houston, people are watching, and they too are starting
to believe that it might be done. That's what HISD students and teachers have done over the last
several years. I'll skip these graphs and go to another big big data point that may be missed.
Because we are a district with 82 to 85 percent free reduced lunch eligible students.",0,5
14,0:28:00,0:30:00,"[28:00–28:30]
Majority of our students are challenged by poverty. The majority, overwhelming majority. And so
also, two years ago, we had a huge achievement gap in this district. And you can see the number in
math. For our white black achievement gap, it was 41 percentage points difference. Today it's only
29. Now, that's still too big, I get that, but it's a huge improvement.

[28:30–29:00]
since years before. And the white Hispanic app is was 30 in 2023. 30 percentage points difference
between Hispanic, the average Hispanic student scores and our average white student scores. Now it's
23. In reading, the gap is smaller and still too large. 39 in 2023 and 30 in 2025, and you can see
the same thing for the white Hispanic app. But we are closing the gap. The promise of America.

[29:00–29:30]
has been broken by most other districts, not here. The mission that we put before this board and
before the community and before the staff in 2023 is two things close the achievement gap and get
kids ready for year 2020 2035 World and Workplace. And we're doing both. Now we've got a lot of work
to do. And nobody over there is gonna rest on the laurels. None of our principals will, and none of
our teachers will.",1,3
15,0:30:00,0:32:00,"[30:00–30:30]
Why? Because while we have 197 A and B schools, A and B rated schools, we don't have 273 A and B
rated schools. We still have a gap that's too large. We still have 18 D-rated schools. That's a
small percentage of 273, but it's still schools that are D-rated. We have some low C-rated schools
that if we do not support, they may fall into D or F status.

[30:30–31:00]
And all means all. And that means we have kids even in some of our A and B schools where the gap is
too large. And that ain't right either. So we will do everything we can across the system to help
all kids. Now this is surprising the staff probably but I think it's possible I think it's possible
to have only A

[31:00–31:30]
A and B rated campuses three years from now. Only large district in America that 273 A and B rated
campuses only. Is it possible? That's the question. And because that question was asked two years
ago, is it possible to get out of intervention status in just a few years? And very few thought it
was possible. We knew it was. I'm saying it is possible, and we're going to shoot for that.

[31:30–32:00]
Finally, um there's always a question about NES and PUA, and the the story here is you can see that
NES campuses have grown incredibly. Two years ago they had eleven A and B schools, NES campuses.
Today they have ninety-four A and B schools. But our but our um",0,5
16,0:32:00,0:34:00,"[32:00–32:30]
Um PUA schools also had eighty two A and B schools, and today they have 103 A and B schools, a rise
of 25 percent. So we didn't narrow the gap by bringing down the scores of our our stronger students.
We narrowed the gap by bringing the scores of our stronger students up, and then our struggling
campuses even further up. And that's how you close an achievement gap.

[32:30–33:00]
So um again I could go over way more data. You're gonna get some more on paper and happy to um uh
answer any of those uh the questions you have about that when we get to the the session and the
progress monitoring. Uh but right now, uh Mr. President, if it's okay with you, I will move into the
we can open it up for questions for uh com for board members if you have any questions with the
accountability. Anybody? I I would just like Mike, would you go back a few slides if you don't mind?
Go to the one with the circles on the

[33:00–33:30]
One with the circles on them. And I've only been in Houston 20 years, so I don't know all the
details. But I'm looking at the right upper right hand northeast quadrant of the city, okay?
Virtually every school in 2023 was either D or F rated in that quadrant. I'm just picking on one
quadrant, the northeast quadrant of the city. Yep. And go one slide further. There isn't a D or F
rated school in that quadrant any longer. There are a few C's, but all the all the rest of them are
B's.",1,3
17,0:34:00,0:36:00,"[34:00–34:30]
That is a remarkable story. How does that happen? Yes, sir. So just quickly. Oh. That could be an
hour. Yeah, it would take a long time. But this is this is very smart. This is a story that the
North Forest community is very proud of. Prior to 2012, they were they had the same circles. And
then in 2012 they were North Forest School, most of those are in North Forest, was annexed by this
district. And they

[34:30–35:00]
continue to be stepchildren. And now, as you can see, they're very proud of the fact of what that
you just mentioned. The short story is a lot of effective teaching and a lot of effective leadership
and coaching from principals. That is the reason. That's what we said would be the reason. We train
on it, we are rigorous in it. Everybody, I mean, even today, I mean the board members can see that
went to the schools, and by the way, thank you, board members, for uh being in the schools and the

[35:00–35:30]
rest of you I know later this year will will also join us in in schools. But you can see firsthand
then how the training goes. Day one, effective teaching. Not everybody, yes, there were pr some
progressing teachers, day one, but day one. That's what it takes. That's what some people don't
understand. That's the answer to your question in shorthand. Any other questions? Okay, great.

[35:30–36:00]
Mr. President, if you if you don't mind, then I will move into school recognition. So for this
month's board spotlight, we are thrilled to honor three campuses that have shown extraordinary
growth over the past year. These schools didn't just improve their academic scores, they are
powerful examples of what's possible with dedicated leadership, committed teachers, and resilient
students. They are making sure that",0,5
18,0:36:00,0:38:00,"[36:00–36:30]
zip code no longer dictates destiny in HISD. We're excited to celebrate the district's three highest
growth campuses for the 2025 school year. So many schools improved, but these three schools are
truly standouts. So first, we recognize Valley West Elementary School. And you can see from the

[36:30–37:00]
chart there that the school made incredible progress in just one year, leaping from an F to an A
rating in 2025. Several of us were at Valley West, and it was really a great celebration. And these
results were a product of former principal Terry Hampton's dedicated leadership. And Principal
Hampton has now moved into a new role as the leader of Jane Long Middle School. And we warmly
welcome Valley West's.

[37:00–37:30]
new principal, uh uh Principal Tucker. Yay, if both of you will stand up. Thank you. And again,
these these results are more than just a letter grade. Um, take it from a fifth grade science
teacher who shared.

[37:30–38:00]
Valley West is more than just a school, it's my home. Our dedicated teachers consistently
collaborate and support one another to provide students with a truly exceptional first class
education. Valley West is the place to learn, grow, and work. Thank you again, Principal Hampton,
Principal Tucker, and the Valley West teachers and staff. Next, we celebrate Browning Elementary
School.",0,5
19,0:38:00,0:40:00,"[38:30–39:00]
And this school is led by Principal Dr. Elena Silva Leal. And you can see they went from a C rating
to an A rating. And this accomplishment reflects a culture of excellence built on high expectations,
collaborative teaching, and a deep belief in every student's potential. Christina Rodriguez, uh, a
reading teacher.

[39:00–39:30]
Thank you. A reading teacher and proud parents shared, working at Browning has taught me to embrace
challenges and recognize relationship building as a key component of success across the board. As a
parent of a Browning student, I've witnessed remarkable growth in my son's learning and social
experiences, and it makes me a proud roadrunner mom.

[39:30–40:00]
Could Dr. Silva Leal and the Browning staff who are in attendance, can you please stand up and be
recognized? Let's see, and finally, Milne Elementary School. Same thing you can see there.",0,5
20,0:40:00,0:42:00,"[40:00–40:30]
a huge growth from an F rating to a B rating. I think they got an eighty-eight. They just missed the
A. Um, and they are led by uh Principal Shante Creeks. Shante's where Shante. Go ahead. And in their
own words,

[40:30–41:00]
this is a third grade student. We do fun activities that help us learn, like whip arounds and using
whiteboards. I like pushing myself every day, and I feel proud when I make it to the team center.
That is a third grader. Look, um I would just like to say uh congratulations to all schools. Uh you
are the the best of the the brightest, the best and the brightest of a group of schools that had
incredible.

[41:00–41:30]
growth this year. So just uh know that we also understand what it really takes. I mean, it's easy to
throw numbers up there, it's easy to get applause. But the real, the real uh plus for you all, I
know, happens when nobody's watching in the quiet of the night or in between classes, and when you
have to do all the things that you have to do to make that school work, to motivate kids, to get
them in the right going in the right direction.

[41:30–42:00]
all at the same time. Support teachers. It's huge. And so thank you for all that. I'm done.
Superintendent Miles, I have one question about the the previous um uh A through uh A and B uh
students. Um I saw a number that said 70,000 students. We have 70,000 students more in A and B uh
schools today than we did at in 2023. Is that correct? Yes.",0,5
