chunk_id,window_start,window_end,text,,,,,,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Okay. Good evening. We're going to start our meeting. Good evening. This meeting is now convened at
5 02 p.m. on Thursday, September 11, 2025. This is the regular meeting of the school board. I'd like
everyone uh to please silence all cell phones. The quorum of the board is present in the board
auditorium. And um we are going to start um with a uh we're joined by a member of

[00:30–01:00]
the junior uh reserve officer training corps to lead our pledges tonight. Am I getting feedback?
Okay. I would like uh board member uh Michelle Cruz Arnold to introduce tonight's pledge leader.
What is that we're hearing? Somebody's got their phone on. Thank you, President Campo. Cadet Jaden
Flores is an integral part of the Madison NJ R O T C team serving as the

[01:00–01:30]
Cadet Master Chief Petty Officer for the Battalion. She also serves as the Honor Guard Commander as
well as the Color Guard Commander for the Mixed Color Guard. As a member of the Unarmed Drill Team,
she contributed to the team's second place finish at a Navy national drill competition held at Texas
AM this past June. She is also an active member of the academic team. Cadet Flores has earned
several awards and honors, including a Daughters of Foreign Words Medal and the NJROTC Exemplary
Conduct Ribbon. She plans to attend Louisiana.

[01:30–02:00]
Louisiana State University, where she will study to become a lawyer. Cadet Flores. Please remain
standing for the Pledge of Allegiance and pledge to the Texas flag. I pledge allegiance to the flag
of the United States of America and to the Republic for which it stands one nation on our God.",,,,,,0,5
1,0:02:00,0:04:00,"[02:00–02:30]
God in the visible with liberty and justice for all. Now for the Texas flag. Honor the Texas flag. I
pledge allegiance to thee, Texas. One state, honor God, one indivisible.

[02:30–03:00]
We will now hear from uh public officials and speakers who identify themselves as HIC parents and
students. Please note that that Spanish live cappuccino is available for those viewing the meeting
via live stream, and live Spanish interpretation is available in person in the auditorium. Public
comment during school board meetings will only be available to those persons who have signed up to
speak prior to the meeting time per current protocol. Verbal and other board uh verbal

[03:00–03:30]
and other disruptive disruptions by persons during school board meeting are not acceptable as they
inhibit the board's ability to conduct business and the public's ability to observe those processes.
Persons who persist participate in such behavior will be given one warning, and if the behavior is
repeated, they will be asked to leave the meeting. I want to remind our speakers tonight that this
is a public forum. Since we have sixty-nine speakers here tonight, each speaker will have one minute
minute to speak. This is designed to allow speakers to have their voices heard. We appreciate you
being here tonight.

[03:30–04:00]
and do listen to what you have to say. State open meetings and posting requirements limit our
ability to respond directly to you and to answer specific questions that you might have. We respect
and appreciate your time and commitment for being here tonight. This kind of public debate is what
makes our country free and great. We can share ideas even if we disagree. We can disagree without
being disagreeable. Tonight's meeting is being broadcast live and is available for viewing later on
demand on HISD now by",,,,,,0,5
2,0:04:00,0:06:00,"[04:30–05:00]
Trustee now by the broad community, which includes a lot of our students. With all of the loud and
partisan political and social discourse going around us today, we should teach our students by
example that we can be civil and respectful of each other tonight. We will start with uh public
officials. Uh Trustee Moore, I see is he here? Okay. I guess we have Trustee Gomez. Come on up.

[05:00–05:30]
Thank you. I want to start by reading a quote from Duncan Klusman from the Houston Chronicle
article. Quote As policymakers focus much more on student achievement and the star test, that's not
necessarily what parents align to or what they want their child's experience to be. So, what do
parents want their children's experience to be? Or to put it in lone star governance language, what
are the vision and values of this community? About a year ago, I was impressed with the appointed
board's self awareness when they rated themselves so one out of ten in community engagement.

[05:30–06:00]
But I have been astonished at the lack of action and lack of follow up to address that. A good place
to start would be to actually have community engagement meetings where we can have back and forth
discussion. To stop categorizing people as naysayers versus believers, as people who put adult
interests first versus people who put students' interests first, and at a bare minimum not look at
each other as enemies. Mr. President Kampa, I appreciate the comments at the beginning. I
wholeheartedly agree. We need to have be able to disagree without being disagreeable. I'll add to
that a good place to start is to make sure.",,,,,,0,5
3,0:06:00,0:08:00,"[06:00–06:30]
that we are able to be in a form where we can have back and forth discussion, and those places are
community engagement meetings. Thank you. Do we have any other public officials? Uh Swamp Moore is
not here, I guess. Um okay. Um next we'll hear from speakers who've identified themselves as HIC
parents or students. Uh we'll start with students. Uh Ms. Smith, will you bring up the first
student? Uh we have students. Daphne Simpson.

[06:30–07:00]
Hi, my name is Daphne Simpson, and I'm a sixth grader at Lanier Middle School. I'm here to discuss
issues I have seen at school, especially in my math class. In our assignments, me and a few other
students have seen errors in our curriculum. This makes it difficult for me and my peers to
understand.

[07:00–07:30]
the question and makes us more likely to get a lower grade. At my school, we use Canvas, and when we
submit our math assignments, we always get an unfair score. Canvas will incorrectly grade our
assignments, lowering our grade on Power School. We then have to go to our teacher and report this
issue, and she has to go and check our responses when Canvas should have done it correctly in the
first place. This makes it difficult for us to trust that we received the grade we deserved. I also
wish to mention that Lanier is an eight rated Vanguard campus, yet we are still receiving NES error
ridden curriculum. Mr. Miles and the HIC.

[07:30–08:00]
Miles and the HISD board, I am asking you to provide our schools and all HISD schools with proven
high quality curriculums, not HISD AI generated work. Thank you for your time. Thank you. Douglas
Harley and any other HIS students?",,,,,,0,5
4,0:08:00,0:10:00,"[08:30–09:00]
Hi, my name is Douglas. NES made school boring because we don't get a draw. Because our teacher says
that we can only draw if it's a math equation. Kids need brain breaks so our brains can think
better. But there are no brain breaks in NES. NES makes it harder to learn because it is boring. I
wish I could go back to asking.

[09:00–09:30]
I could go back to ask you, but I can't be but I can oh, because it is NES. Listen to the parents
and students. So many great teachers live. I hate NES. Everybody hates NES. Thank you.

[09:30–10:00]
Starting with Robbie McDonough. Group A parents one through ten, starting with Mr. McDonough. Thank
you. Go ahead. Good evening. My name is Robbie McDonough, and I'm an HISD parent of three. I believe
uh all HISD students deserve an education as great.",,,,,,0,5
5,0:10:00,0:12:00,"[10:00–10:30]
Education is great as our city. I understand that teacher shortages are a national issue, and
certification waivers are sometimes necessary, but they cannot become the long term plan. Each
waiver is a sign of a deeper problem. HISD struggles to recruit and more importantly, retain high
quality educators. Turnover here far outpaces neighborhood uh neighboring districts, disrupting
learning and eroding trust. When we overuse waivers, we send the message that good enough is
acceptable for Houston students. It isn't. We need a real plan.

[10:30–11:00]
to retain experienced teachers, support professional growth, and create schools where staff want to
stay. I respectfully ask the board and administration to publish annual waiver data by role and by
year going back five years. Let's treat thank you.

[11:00–11:30]
And I'm here tonight as a Durham Elementary parent and an active member of our school community.
During the last HISD board meeting, Durham Elementary Parents made it clear we're not against
change. We're against the way change is being done at Durham. Last minute, disruptive, and without
the thoughtful planning needed to ensure student success. At that meeting, we shared examples of the
disruption. Curriculum shifts announced at the last minute, teachers reassigned to entirely new
subjects after Meet the Teacher, and classroom layouts altered after the very

[11:30–12:00]
first day of school. Unfortunately, these were not isolated incidents. What we continue to see is a
pattern, poorly planned, disruption, rolled out, without the proper support or resources. And every
time this happens, our students and teachers suffer. Build on our foundation, don't demolish it. The
story continues. Hi, my name is Lucy Gravy. I'm here representing Durham as well.",,,,,,0,5
6,0:12:00,0:14:00,"[12:00–12:30]
The story continues. On August 27th, Superintendent Mike Miles visited our campus. He came for just
a brief observation, no more than, I don't know, an hour. By the end of that day, though, however,
two of our most beloved teachers were reassigned to other campuses for unknown reasons. The next
morning, when children walked into their classrooms, they were expecting to see their the teachers
they trusted. Instead, they walked in and had substitutes and chrome.

[13:00–13:30]
And Chromebooks awaiting them. These teachers that they loved and trusted and had built
relationships with were removed. Please build on our foundation, don't demolish it. Story to be
continued. Thank you. Hi, I'm Aaron Simpson. I'm also a Durham Elementary parent here to continue
the story. So after our proven, well respected teachers had been removed for two days instead of rev
receiving instruction, our students were with a substitute again on Chromebooks, playing games. When
HISD's message has been that nothing is more important.

[13:30–14:00]
than bell to bell um instruction, high quality instruction. That is true, Mr. Miles. I see you
saying it's not, but it is. Um, this is one of, again, a number of changes that have been
implemented on our campus that have not been fully planned out. Leadership is showing their
ineptitude and how they are implementing and not communicating these changes when a little bit of
communication, a little bit of collaboration with the community could save a lot of heartache here.
This isn't high quality education, is disruption. Our children only get one shot at second grade, at
third grade. And they're the ones that are paying the price for this.",,,,,,0,5
7,0:14:00,0:16:00,"[14:00–14:30]
Again, build on our foundation, don't demolish it. To be continued. Thank you. My name is Fatima
Gilbert, and I am here as a Durham parent and active member of the community with over seven years
at Durham Elementary with three children. Durham families want to partner with HISD, but partnership
requires trust, planning, and respect for students and teachers. Without that, we're not moving
forward together. We're leaving our kids behind. The disruptions didn't stop with teacher
reassignments.

[14:30–15:00]
Last Friday, the restruction began moving Durham's library into a much smaller space for use for
storage. Ironically, that's where the room is used for an unused Eureka math curriculum. Purchased,
wasted tax dollars, but now sitting idle because the district requires teachers to use a different
curriculum. Our library, our corner store, reading and exploration is now being dismantled. And the
truth is that this is becoming a team center. I witness furniture being removed from the library. I
witness things being moved because I live across the street.

[15:00–15:30]
Street. When that school was an D-rated school, I chose to be a little bit. My name's Kyle, and I'm
also here representing Durham Elementary. So there's two empty classrooms on our campus, fully
equipped with desks, and they're sitting there unused. If the district really needed space for a
team center, those classrooms could have been converted without disrupting any student learning.
Instead, the district chose to dismantle the library.

[15:30–16:00]
one of the most vital spaces on campus. The choice makes no sense. Once again, it's changed for
chain's sake. It wasn't fully planned, and we've had consequences as a result. Why reduce a resource
to a storage room that directly benefits every single child every day when other viable options
exist? Why disrupt a library that serves as the heart of the school instead of using available
classrooms that are already sitting in? It's another example of a change for chain's sake that was
poorly conceived, poorly executed, and our kids are bearing the consequence of that. Thanks. Thank
you.",,,,,,0,5
8,0:16:00,0:18:00,"[16:00–16:30]
Thank you. My name is Lauren, and I'm also a Durham parent. So I ask, what does this mean? Instead
of a space for books, inquiry, and literacy, the library is going to be minimized at Durham.
Students who pass their DOLs will be sent multiple times a day there. Families are asking, how does
shrinking a library at a school that prides itself as being an IB campus with global

[17:00–17:30]
Global awareness, love of reading, how does that align with HISD's stated goals of high quality
education? This isn't innovation, period. This is narrowing opportunities for students. It's
stripping away our literacy resources, and it's replacing them with worksheets. It's doubling down
on disruption rather than investing in proven strategies that grow readers, that grow thinkers, and
that develop global problem solvers. Please build on our foundation. Don't destroy it.

[17:30–18:00]
Thank you. Good evening. My name is Natalie Carmuish. I also have two children in HISD, one of whom
attends Durham Elementary right now. Again, we do not resist change. We do resist dismantling of
programs that work. We resist a change to moving a library and not having one. The most interesting
part about all this change is that if you only look at Durham's overall accountability rating, yes,
we are C. But that single letter does not tell the real story of what's happening on our campus.",,,,,,0,5
9,0:18:00,0:20:00,"[18:00–18:30]
When you look at STAR performance domain one, what TEA calls student achievement, the very measure
HIC uses to justify so many of these reforms, Durham actually outperformed NES elementary schools.
Last year, Durham students scored on average eight points higher on STAR than NES schools that have
been in the system for two full years. I ask for you to honestly think about the decisions that are
being made that are impacting my child, these children, on a day-to-day basis. Build on our
foundation. Don't dismolish.

[18:30–19:00]
it. Thank you. Hi, I'm Nealie Stewart and I have a first grade Dalmatian. So let me ask you this
plainly. Why are we being forced to conform to a system that has consistently produced lower test
scores than Durham's existing approach? This isn't about the past. This is about recognizing what
works and building on that. Durham is not failing. Durham is outperforming NES scores.

[19:00–19:30]
NES schools in the very metric that HISD says that it cares so much about star scores. So families
are now asking if Durham students are already showing stronger star results, why disrupt teachers?
Why dismantle programs? And strip away the stability that they have in order to adopt this whole new
system? And it has yet, by the way, to be proven to deliver better outcomes. Build on our
foundation, do not demolish it. To be continued. Thank you.

[19:30–20:00]
My name is Michelle Witkowski and I have three children at Durham Elementary. This is not about
resisting change. Durham families have shown again and again that we embrace innovation, dual
language expansion, the International Baccalaureate Program. We want progress, but progress must be
measured by outcomes. And the outcomes shown that the outcomes show that Durham is already producing
stronger results than the NES system. Here is what we fear.",,,,,,1,4
