chunk_id,window_start,window_end,text,binary_hit
0,0:00:00,0:02:00,"[00:00–00:30]
I call this regular meeting of the Spring Branch Independent School District Board of Trustees to
order. Let the record show the time is now six o'clock and a quorum of board members is present.
Everyone's here. This meeting has been duly called and the notice for this meeting has been posted
in accordance with the Texas Open Meetings Act, Texas Government Code, Chapter 551.041. Please stand
while Vice President Courtney Anderson.

[00:30–01:00]
leads us in the pledges of allegiance to the U.S. and Texas flags. I pledge allegiance to the flag
of the United States of America and to the republic or religious stance of one nation under God and
indivisible liberty and justice law. Honor the Texas flag, I pledge allegiance to thee. Texas one
state under God and one indivisible. Please be seated.

[01:00–01:30]
I would like to introduce the senior administrative staff. They are Ms. Linda Butman, Associate
Superintendent for Communications and Community Engagement, Ms. Karen Heath, Associate
Superintendent for Administration and Talent, Ms. Christina Massick, Associate Superintendent for
Information Technology, Dr. Annie Wolf, Associate Superintendent for Academics, Ms. Christine
Porter, Associate Superintendent for Finance, Mr. Travis Stanford, Associate Superintendent for
Operations, Dr.

[01:30–02:00]
Dr. Jennifer Parker, Community Superintendent, Dr. Brian Williams, Community Superintendent. I would
like to introduce your board members. From left to right, they are board member David Slattery,
Board Member Chris Ernest, Stacey Kim, Executive Assistant to the Board, Dr. Jennifer Blaine,
Superintendent. I am Lisa Alpey, Board President, Board Vice President, Courtney Anderson, Board
Secretary, Shannon Mahan, Board Member John Perez, and Board Member.",0
1,0:02:00,0:04:00,"[02:00–02:30]
Caroline H. Bennett. Dr. Blaine, do you have any opening remarks? Yes, I do. Thank you. Just want to
report to our trustees we had a very smooth opening of school. Lots of happy faces, and uh, we're
just really excited to have all our people back. Um very successful opening, and you're gonna hear a
little bit more about that in a presentation uh through through a video that we're going to do. And
then just want to welcome all of our special guests tonight. We have uh members of our fabulous
Council of PTA sitting on the front row. We have um members from Lion Lane and Tiger Trail with us,
and um we

[02:30–03:00]
And we also have our fine arts folks out there who have won an award for I think the third or fourth
time in an award. So a fourth time. So congratulations, you guys do amazing work. So just really
grateful for smooth opening to the school year and looking forward to more success. The next item on
the agenda is public comment on special presentations. Because we have a special presentation of
guests tonight in our meeting to honor their time. We would like to hear public comments only on the
special presentation at this time.

[03:00–03:30]
All other public comments will be heard after special presentation. I do not believe we had anyone
sign up to comment on special presentations. Okay. Before we begin special presentations, are there
any Boy Scouts in attendance? All right. No Boy Scouts. The next item on the agenda is special
presentations.

[03:30–04:00]
Presentations. Courtney. In SBISD, we are so fortunate to have strong and dedicated PTA Council
leaders and dozens of committed leaders and volunteers at the campus PTA level as well. This summer,
Texas PTA recognized our SBISD Council of PTAs with four major honors. First, the SBISD Council of
PTAs was recognized with the Outstanding Council Platinum Award, the very highest level of
distinction for its superlative achievements.",0
2,0:04:00,0:06:00,"[04:30–05:00]
Superlative achievement across 10 priorities that serve as a roadmap for how the council has led,
guided, and supported our local PTAs. The Council was also honored with a Voice for Every Child
Silver Award. This is Texas PTA's most prestigious membership award, recognizing council PTAs that
strive to have one voice for every child in their community. The Council was recognized for its
continued membership growth for four years with a membership increase for year high key award.

[05:00–05:30]
And last but certainly not least, the council earned the Advocacy Impact Award for its efforts to
encourage engagement through an advocacy initiative. We know that our PTAs have been huge partners
in all our advocacy efforts over the past 18 months, and we will need our PTA's continued support as
we gear up for the 89th legislative session starting in January. We also know our PTAs are the
backbones of schools, providing leadership and volunteer opportunities that engage families and
staff, supporting students.

[05:30–06:00]
and teachers with appreciation events, special programs, and more, raising funds for important
campus initiatives, and serving as key partners for our campus leaders and staff for our entire
district. We are beyond grateful for your service and SBISD proud of these important recognitions.
We invite Linda Dang, president of the SBISD Council of PTAs, and our additional PTA Council
representatives to come forward at this time to be recognized for these outstanding accomplishments.",0
3,0:06:00,0:08:00,"[06:30–07:00]
What better way to kick off the school year than with several very prestigious district awards that
showcase the excellence of our academic programming and the hard work, dedication, and commitment to
every child that our leaders and staff display every day? We are so proud this evening to share
great news about the impressive accreditation of two of our employee child.

[07:00–07:30]
Of our employee childcare centers, Lion Lane and Tiger Trail, by the National Association for the
Education of Young Children. Thank you, Trustee Bennett. I'm honored to celebrate the work of our
child care teams at Lion Lane and Tiger Trail. Both child care centers received notice that they are
now a fully accredited program by the National Association for the Education of Young Children,
NACI. Only 2% of the Houston area child care centers are NACI accredited. This is quite an
accomplishment for these small but mighty teams.

[07:30–08:00]
NACI is the largest nonprofit association in the United States representing early childhood
education, and they've established an accreditation system that sets professional standards for high
quality programs for young children. Going through accreditation is an extremely rigorous process.
These teams have invested many hours in professional learning, goal setting, collaborative planning,
and preparation. The teams have demonstrated collective greatness in reaching their goal of NACI
accreditation, and we're grateful for their commitment and hard work. Now I invite our director of
pre K and Early Childhood.",0
4,0:08:00,0:10:00,"[08:30–09:00]
April Falcon Blanco, to recognize our child care assistant director, managers, and specialists.
Thank you, Dr. Wolf. Yes, we are extremely proud of our child care teams, and having a NACI
accreditation is a really big deal in the world of early childhood. So I'm very, very proud of them.
I would now like to invite our assistant director of childcare, Dana Dale, up, the manager of Lion
Lane Childcare, Sharon Brothers, the Pre-K director at Lion Lane, Michelle Gabriel, come on up.
Unfortunately, our team from Tiger Trail could not be here tonight.

[09:00–09:30]
but we do um have their certificate and want them to be recognized. Congratulations to all.

[09:30–10:00]
Okay. I've had the privilege of getting to know our communications team while uh serving as their
liaison. In that time, I've seen firsthand how much they do to proactively and creatively reach our
families, staff, and community as a whole. So thank y'all so much. This summer, the SBIC
communications team was recognized by the National School Public Relations Association with multiple
awards for its outstanding achievements in school communications. Dr. Blaine was also recognized and
honored.",0
5,0:10:00,0:12:00,"[10:00–10:30]
Honored by the organization with the top national award presented to one superintendent annually for
outstanding leadership in public school relations and communications. Here to share more about these
awards is Linda Buckman, Associate Superintendent for Communications and Community Engagement. Good
evening, and thank you so much. It's my privilege and honor to recognize our awesome communications
team, not only for the awards they won this summer, given at the national level by the National
School.

[10:30–11:00]
of Public Relations Association, but also to recognize them for awards they earned earlier in the
spring from our statewide organization. Probably the coolest one for me was the Golden Achievement
Award that this team earned, our small but mighty team. That's the second highest level of awards
that you can win at the national level. And it was given for our overall comprehensive communication
plan and the robust nature of the work that this team does on a daily basis to tell the stories of
Spring Branch and to do what we need.

[11:00–11:30]
to to have that good, transparent two way communication with our community. They also won an award
of excellence for the redesign of our home page of our website that Kristen Kane was responsible
for. Honorable mention for our video series that Chris and Paul worked so hard on, a mention for our
booklet that we did that was a digital booklet around all of our Teachers of the Year that was a
spotlight on SBI educators. They earned an honorable mention for social media planning and all the
special days recognitions that we do throughout the year, and an award of merit for all their
photography.

[11:30–12:00]
Melissa Wyland, our awesome communications director, could not be here this evening because she's at
a parent event at Spring Forest. And her other half is here with us this evening. So she was on
parent duty, but we thank Melissa for her leadership of our communications team. And before I invite
them up, I also want to talk to you all a little bit and brag on our awesome superintendent, Dr.
Jennifer Blaine, because I don't think she realized what a big deal it was to win the Bob Grossman
2024 National School Leadership and Communications Award. Only one superintendent across the
country.",0
6,0:12:00,0:14:00,"[12:00–12:30]
is honored with that award. And if you heard all the folks who talked about reading the application
that was submitted and all the letters of support that came along with it, you could tell that they
were immediately dazzled by Jennifer's leadership, not only in the communications realm but also in
community engagement, with a lot of that application focused on everything that we did as advocacy
during the 88th legislative session, the SFAT, and everything that encompassed all of the
communications over the last two years. It was really exciting for Jennifer to.

[13:00–13:30]
walk into the convention. She thought, well, it's a convention. Well, there were over 2,000 people
there. And when her picture was big on a placard, when we walked into the lobby of the ballroom, she
was like, okay, this is kind of cool. And so the next day, Jennifer had the opportunity to speak
before an invitation only group of 80 superintendents from around the country who were interested in
the story of what we did, what we had to do, what the lessons that we learned were. And they were
like glued to every word she said. So much so that last week we received an email.

[13:30–14:00]
inviting Jennifer to share that story again for a national cohort of superintendents who are going
through a communications and leadership academy and to come be part of a four hour kickoff cohort in
New Orleans next March as folks learn from around the country how to develop a robust communication
plan and effectively communicate, especially when what you're having to communicate may not be so
palatable to everyone on the other end of the information. So we're very proud of that, and we also
encourage you to look forward to the February issue of School Administrator because they were also.",0
7,0:14:00,0:16:00,"[14:00–14:30]
dazzled by Jennifer and are going to be doing a spotlight on Jennifer and all of her communications
and leadership. So that was a really fun thing for all of us who are so proud of Dr. Blaine. So,
Jennifer, congratulations on your award. And if our communications team could come forward to be
introduced. So, Kristen Kane, who does all of our website and multimedia work, Paul Bryant, who's a
fixture, Santa Claus and everything else that you could ever want. Paul takes care of all of our
print, a lot of our films.

[14:30–15:00]
A lot of our film, photography, and any and everything we need. Chris Elliott, who handles all of
our marketing communications, works a lot on our video production and has brought a new set of
skills that we never had before. Chris came and is doing a great job in that area. And then Paris,
who does all of our beautiful graphics work. So congratulations on all your awards. And Grace
Gabriel, who is most recent as an addition to our team, but is worthy of accolades already. So
congratulations to all of you. Y'all work so hard and we're so proud.

[15:00–15:30]
Okay, Chris, can you get in the picture and I'll take a wissy one off my phone, but we've got to
have it in the picture too, so we'll see how this does.

[15:30–16:00]
To recognize our visual arts program and our art teachers district wide for being recognized for the
fourth year in a row as district of distinction by the Texas Art Education Association. We're going
to skip agenda item 4C due to our honorees not being here with a conflict. At this time, I want to
invite Dr. Wolfe, our Associate Superintendent of Academics, up to the podium. There she is to share
more about the two awards as we will recognize them this evening. Following remarks about each each.",0
8,0:16:00,0:18:00,"[16:00–16:30]
About e r each recognition, Dr. Wolf will invite each group of honorees up to come forward and be
recognized. Thank you again, Trustee Bennett. We're very proud on the academics team to have another
award this evening. The Texas Art Education Association, TAEA, has announced the 94 winners of the
2024 District of Distinction Award. TAEA is the leading advocate for the visual arts in the state
and the largest state professional organization for art educators in the U.S. The organization
recognizes and celebrates Texas school districts that meet rigorous criteria.

[17:00–17:30]
Criteria. This is the fourth year that TAEA is honoring SBISD with this prestigious designation. For
the 2024 award, over 1,200 districts were eligible to apply. Each district submitted documentation
that they met from the 14-point rubric over the course of the school year, but only 94 districts met
the high standard and will receive the outstanding honor, indicating that they are the top 5.5% of
art education programs in the state of Texas. The districts of distinction will be honored during
the TAEA fall conference to.

[17:30–18:00]
Fall Conference General Assembly on Friday, November 15th. Winning this award is a testament to the
hard work of our art educators, student artists, and the widespread community support of the arts in
SBISD. I'm so proud of our visual arts team for inspiring their students and impacting their
communities through their campus art programs. Hats off as well to our fine arts director, Houston
Hayes, as well as our visual arts coordinator Lindsay Ripley. I'd like to invite Lindsay to come up
and honor our arts educators.",1
9,0:18:00,0:20:00,"[18:00–18:30]
Thank you, Dr. Wolfe. First of all, I want to say that this award is not possible without our
incredible art educators. We have a few here tonight. Without our absolutely gifted student artists
and a community that supports the arts.

[18:30–19:00]
The next item on the agenda is public comment on agenda or non agenda items at regular meetings. The
board sets aside a specific

[19:00–19:30]
time to hear people who desire to make comments to the board concerning either agenda or non agenda
items. People who wish to participate in this portion of the meeting shall sign up as they arrive,
indicating the topic they wish to speak, and shall submit this form to the presiding officer before
the meeting begins. We have two speakers tonight. The length of public comment shall be at the
discretion of the board president. We will do four minutes. Because individual rights are protected
by various laws and board policies, complaints regarding specific employees or students.

[19:30–20:00]
should be directed to the administration. If a person makes complaints about a specific employee or
student during public comment, the board president has the discretion to move the board into closed
session to hear such complaints. If anyone makes a complaint about a specific employee by name or
job title, the board will hold the public comment until the end of the public comments and hear all
such complaints individually in closed session. Under the law, the board cannot deliberate, discuss,
or make a decision on any subject that not that is not on the agenda. So as a general matter,",0
10,0:20:00,0:22:00,"[20:00–20:30]
the board does not respond to questions at public comment. Specific factual information or review of
existing policy, however, may, where legally allowed, be provided in response to inquiries or
questions. At this time, we will begin public comment, and our first speaker is Diana Alexander. We
ask that you come forward to the microphone and please state your name, address, and the subject
which you are speaking about Diana Alexander, 77043, and I'm speaking.

[20:30–21:00]
on agenda item nine. Esteemed board members, I am here to speak on agenda item nine, which will
curtail the ability for the public to speak at board meetings. Effectively, speaker suppression.
Let's take a step back to last fall when pro sorry, when campuses and programming were under threat
of being cut. When the community showed up in droves, there was no contingency plan to open an
overflow room. A failure on your part. You proposed that community members

[21:30–22:00]
sign up by noon and still only get the agenda at the end of the day on Friday. Why? A later cutoff
of 4 30 or so will allow you to adjust the pacing of the board meeting and you can hear from the
public in earnest. Use an online submission form that doesn't need to be scanned. Simplify steps,
don't add them. Why create more barriers? Frankly, I don't think you want to hear from us. You want
to continue unopposed in your initiatives while your decisions have supplanted an entire learning.",0
