chunk_id,window_start,window_end,text,old_binary_hit,confidence,binary_hit
0,0:00:00,0:02:00,"[00:00–00:30]
Noting that a quorum is present, I hereby call this regular board meeting of the Board of Trustees
of Katie Independent School District order. Today is Monday, June 23rd, 2025, and the time is 5 01
p.m. Dr. Gorgorski, will you verify that we are in compliance with the provisions of the Texas Open
Meetings Act with regard to the notice of this meeting? Mr. Redmond, I do confirm we are in
compliance of the provisions of the Texas Open Meeting Act for our meeting tonight. Thank you. Uh
we'll now ask KDI Steve Police Officer Robert Lister to come and lead us in the pledges of
allegiance.

[00:30–01:00]
Allegiance. I pledge allegiance to the flag of the United States of America and to the Republic for
which it stands, one nation under God, indivisible, with liberty and justice for all. Honor the
Texas flag. I pledge allegiance to thee, Texas, one state under God, one indivisible.

[01:00–01:30]
Thank you. We will now move on to uh agenda item or a recognitions uh part of the agenda. Dr.
Grigorski? This time I'd like to introduce Brandon Webb, Director of Communications, for our
recognitions portion of our meeting. Good evening, President Redmond, trustees, and superintendent
Grigorski. We're excited to recognize the achievements of several students tonight. To introduce our
first recognition, please welcome Assistant Athletic Director, Kyle Green.

[01:30–02:00]
Good evening, uh, President Redmond, trustees, and Superintendent Grigorsky. At this time, I am
honored to recognize our 6A Girls Single State Champion, Ananya Shrenikath from Tompkins High
School. She's a 2025 graduate. She will be attending Claremont McKenna College in the fall. And not
only is she a uh a gold medal winner for this year, she was a silver medal.",0,5,0
1,0:02:00,0:04:00,"[02:00–02:30]
She was a silver medalist last year as a junior. What makes her uh accomplishment unique? If you're
a track athlete and you run down the track, it takes you 10 or 20 seconds to win a gold medal. If
you're a basketball player, maybe an hour and a half. Uh Nanya was on the tennis court for over
seven hours uh competing in the semifinal and the final on the day of. So uh a true, a true feat in
itself, uh and obviously uh wonderful accomplishment. So I would like to um to join uh Nanya myself,
uh recognize Tompkins principal, Elizabeth Brock.

[02:30–03:00]
Campus Athletic Coordinator Todd McVeigh and head tennis coach Renee Richardson. If you could join
us up front.

[03:00–03:30]
Thank you, Mr. Green, and congratulations on the outstanding achievement. During the UIL Academic
State Championship.

[03:30–04:00]
The team that earns the highest number of points during the competition wins first place. Last
month, the UIL academic team from Seven Lakes High School received 160.5 points, making them the
state champions for the second time. The team won first place for the fourth time in the computer
science category. They also won for the first time in the science category. One student also earned
first place in the Social Studies Individual Championship, the first since 2010.",0,5,0
2,0:04:00,0:06:00,"[04:30–05:00]
There are a number of students joining us from the team tonight. Students, when I call your name,
please come forward. Sahara Carmaker, Anthony Lee, Victor Liu, Evan Liu, Tejus Morale, Chris Shaw.

[05:00–05:30]
Nayam San Ampuri. Andy Truyang, who also won the Social Studies Individual State Championship. Adab
Vijay. Eric Zhang, and Richard Zhang. Also with her coaches, Paul Stroud, Mila Taylor, Sarah Flora,
Faith Claus, Josh Andrews, Jason Placet.

[05:30–06:00]
Jason Flacett, Jay Coltman, Sheila Abel, and Kaylin Cabler, as well as Principal Kerry Finnison.
Please join these students at the diets.",0,5,0
3,0:06:00,0:08:00,"[06:00–06:30]
Congratulations to all of these students on their remarkable accomplishments.

[06:30–07:00]
This concludes the recognitions portion of our meeting. Thank you again and congratulations. Do we
have any scouts in the audience this evening? That would be a no. All right, we will then move on to
section number four, uh, public comments. So

[07:00–07:30]
So at this time, the Board of Trustees will give members of the public an opportunity to speak in
accordance with the KDICD board policy, BED Local. As defined by Board Policy, speakers who signed
up by 2 p.m. on Monday, June 23rd, 2025, provided their first and last name and signed up in 15
minutes prior to 5 p.m. will be allowed to address the board. Speakers who signed up to speak on
posted agenda items will be allowed three minutes to speak. Speakers that signed up to speak on non
agenda items will also be allowed three minutes to speak tonight. If a speaker is not finished
speaking at the end of their allotted time, the audio will turn off.

[07:30–08:00]
Uh the board will not or shall not tolerate disruption of the meeting by members of the audience. If
after at least one warning from the presiding officer, any person continues to disrupt the meeting
by his or her words or actions, the presiding officer may request assistance from law enforcement
officials to have the person removed from the meeting. If speakers wish to share written materials
with the board, please provide 10 copies to the Secretary for Board Services before the meeting
begins for board members, the superintendent, chief communications officer, and permanent record. If
the speaker has not attempted to solve a matter administratively through proper channels as stated",0,5,0
4,0:08:00,0:10:00,"[08:30–09:00]
in board policy, the presiding officer's designee shall advise the speaker to seek resolution
through the appropriate policy. Finally, pursuant to Texas Government Code Section 551074 and
5510821, the Board will not permit the presentation of personably identifiable information regarding
a student and will not discuss the appointment, employment, evaluation, reassignment duties,
discipline, or dismissal of a public public officer or employee, or to hear a complaint or charge
against an officer or employee. Should a speaker wish to address one of these issues, they must do
so through the appropriate

[09:00–09:30]
local grievance policies, FNG local, DGBA local, CKE local, or GF local. Our speakers will be called
forward in the order they signed up to speak. Tonight we will start with agenda items and our
speaker tonight for agenda items is Victor Perez. Following Mr. Perez uh we'll have uh Ms. Felicia
Cravens uh speaking on non-agenda items thank you President Redmond Board of Trustees and Dr.
Ugorski I thought I would weigh in on the lump sum teacher bonus payment discussion because it seems
to be uh

[09:30–10:00]
somewhat mischaracterized or widely misunderstood. This is a one million dollar item out of a $1.1
billion budget and a $965 million payroll budget. But for some reason it seems to be dominating your
budget discussion, it shouldn't be controversial. It's my understanding this item is included in the
budget that has been presented. It does not add to the deficit. The district can afford this. Due to
underspending and the property value audit, the projected deficit for this year we are told will
actually be a positive, possibly by about 10 million.",0,5,0
5,0:10:00,0:12:00,"[10:00–10:30]
and likely at least break even for next year. Therefore, at the end of the 25-26 year, our fund
balance would be an estimated 32% versus the projected 27% shown in the slides. My hats off to Mr.
Smith and the staff. As examples in the program, as it stands, a 20-year teacher will receive a
$1,000 bonus, a 25-year teacher will be paid $17.50. A 30-year teacher will receive $2,000. A
35-year teacher will receive $2250, and so on. By not carrying this program forward, you would be
denying these.

[10:30–11:00]
great experienced educators these bonuses. This would be on top of the $5,000 raise funded by the
state. The cost for this program this past year was under $900,000 and impacted about $1,150
teachers. If carried forward, the bonus will be paid out to about 1,200 teachers this coming year,
as I recall, then a different group of teachers each year. The teacher retention bonus is intended
to do something special to recognize our KDIC teachers above and beyond for.

[11:00–11:30]
their years of service. It's another arrow in the district's quiver when trying to hire and retain
teachers. The bonus is consistent with the focus of the State Legislature to focus on classroom
teachers and reduce attrition and teacher shortage. This is a bonus based on five year
anniversaries, just like when the district gives out annual service awards. Not everyone gets
recognized, only those who reach certain milestones, except now we're also giving them money as
well. It was not intended that this program would be modified to include every single teacher. That
cost would be several million dollars.

[11:30–12:00]
The idea was to tweak it to make it even more lucrative. For example, to add, say, $250 across the
board or more to each anniversary, which would cost only $300,000 more if you added $250, or say to
add more money to those at 20 years or above. The board can be creative, get creative, and step up
and show leadership. But please don't deny these bonuses to our loyal, hard-working teachers. Do the
right thing.",0,5,1
6,0:12:00,0:14:00,"[12:00–12:30]
Dark line moving up as a result and raised the case. Thank you, Mr. Perez. Next is Ms. Felicia
Cravins, followed by Christopher Who. Sorry, I'm a little short. Good evening, board members. My
name is Felicia Cravens, and my family's lived in Katie for 22 years. In fact, we chose to buy our
home because of the reputation of these schools here. Um my two children are KISD graduates.

[13:00–13:30]
Graduates, successful careers. I've served as an officer in PTA. We are embedded in this community.
And that's why it concerned me to see the name of one of my old PTA colleagues on the early vote
roster this spring, someone who's been in the trenches for years, someone who gave so much time and
energy to this district and these schools, and someone who we tragically lost in December. Yet
somehow her name appears as having voted in the KDISD election in April during early voting. In no
way is this

[13:30–14:00]
acceptable? I know the district's election administrator is famous for claiming that the district
does not make reporting mistakes, but there are several scenarios in which this could have happened
and none of them are good. The most benign explanation that I can find or imagine is that the
election workers at Taylor High School, where this occurred, may have checked in the wrong voter. My
husband and I vote regularly at Taylor, and the election workers always ask the proper questions and
check us in correctly.",0,5,0
7,0:14:00,0:16:00,"[14:00–14:30]
Correctly. Now, how do I know whether proper procedures are being followed? It's because I also
happen to be a 25-year election judge veteran and one of the people tapped to conduct election law
training for HCRP. I also answer the phone at headquarters on election day and guide judges through
situations and problems when they have them on election day. And as you know, there's no way to take
back a vote once it's been cast erroneously, mistakenly, or fraudulently. It is up to the elections
administrator to make sure.

[14:30–15:00]
that things like this never happen, and that all procedures are followed in a public and transparent
manner, and that errors or breaches of any kind are investigated publicly and thoroughly, and that
plans are put in place to prevent any repeats. This is what I'm looking forward to from this board:
a recommitment to election integrity. This district has a fantastic reputation. I don't want to see
it suffer because of a lack of confidence in these district elections. Thank you for your attention
to this matter.

[15:00–15:30]
Thank you. Now, Christopher Who? Testing? Okay. Esteemed members of the audience and board, thank
you for granting me the opportunity to speak to you today. I've been a student at the school
district for more than a decade now. In fact, Mr. Cross, it was your wife, my elementary school
librarian, Miss Cross, who taught me to seek diverse perspectives and speak out for issues that I

[15:30–16:00]
believe in. I want to start the discussion with a 1972 Supreme Court decision, Wisconsin versus
Yoder, where Amish parents argued that attending high school conflicted with their moral beliefs.
The court agreed and told the state that it could not force Amish students to attend, which was seen
as a major victory for parental choice. But recent KDIC decisions involving parental choice have
been far less liberating. The district has banned books and curriculum related to marginalized
experience to protect parental authority. Preemptively restricting what a child sees, hears or does
is not a parental choice. There is no choice to be made here. The district is already taking that
away. This is not about protecting students",0,5,0
8,0:16:00,0:18:00,"[16:00–16:30]
If so, then why has the district kept Hitler's personal memoir, Mein Kampf, where he says, and I
quote, the personification of the devil and the symbol of all evil assumes the living shape of the
Jew? Why is this in our libraries? The district has also continued its policy of forcible identity
disclosure, alienating transgender individuals in our schools. A 2022 survey of trans individuals by
U Toronto says that school belonging made a unique and statistically significant contribution to
suicide rates. The same study also finds that 82% of trans individuals have considered killing
themselves. KDISD has 100,000 students and 3% of U.S. high school students.

[17:00–17:30]
US high school su US high schoolers identify as transgender. That means that at least 3,000 students
will have their livelihoods fundamentally shaken by the decisions of this board in a way that no
parent or teacher could ever bear. I am urging this board to finally stand up for its students and
take proactive measures to support them. This isn't a culture war that can be relegated for later
discussion. This is a matter of life and death for the students that you purport to protect. This is
your job. Now is the time to take action and reverse course. Returning to Wisconsin versus Yoder,
even if I believe in general that choosing not to attend high school like the Amish did is harmful,
it would be absurd to say that affording them the right to opt out.

[17:30–18:00]
means we force that agenda upon others. Similarly, believing that recognizing queer existence would
infringe on the rights of others is equally absurd. However, Senate Bill 12 recently passed in the
Texas legislature and is a matter of concern to me. It bans clubs related to LGBTQ identity entirely
in the state of Texas. This is not a parental choice. This is a concerted erasure of spaces in which
queer students are allowed to exist. I urge the board not to be complicit in this violent and unjust
destruction of being. Martin Luther King Jr. once said in his letter from Birmingham Jail one has
not only a legal but moral responsibility to disobey.",1,5,1
9,0:18:00,0:20:00,"[18:00–18:30]
unjust laws. And if the board believes that is too radical, perhaps they should strike Dr. King from
the library shelves next. I yield my time. Thank you. This concludes the open forum portion of our
meeting. The board will now convene and closed meeting as authorized under section 551.001 of the
Texas Government Code for the following purpose Texas Government Code 551.071, 551.072, and 551.129.

[18:30–19:00]
The board will now reconvene in open meeting. Today is Monday, June 23rd, 2025, and the time is 5 53
p.m. On behalf of my colleagues, I welcome everyone to this evening's regular board meeting. Each
board meet each board member received the agenda and documentation for this meeting on Thursday,
June 19th, 2025. The board will receive information and recommendations from staff, administration,
and the superintendent on

[19:00–19:30]
these agenda items at tonight's meeting. And board members should be able to ask questions, receive
answers, and should be prepared to take action. The board has just reconvened from a closed meeting
in accordance with Chapter 551 of the Texas Government Code. Any actions arising from discussions in
a closed meeting must be taken in an open meeting. We'll now look at agenda item 6.1. Consider board
approval of the sale of real property. Mr. President. Ms. Fox. I move that the Board of Trustees
approves the sale of real property as discussed in closed meeting. Second.

[19:30–20:00]
It is moved and seconded uh by Rebecca Fox and Miss Mary Ellen Kazella that the Board of Trustees
approves of the sale of real property as discussed in closed meeting. We will now proceed to vote.
Board members please record your vote on the screen via your keypad. The motion passes seven to
zero. We'll now move on to section seven of our agenda tonight, reports. And the first item will be
Rains Academy, an innovative virtual hybrid campus to support student success. The presenter",0,5,0
